transaction_id,old_parent,new_parent,child,type,date,old_president_name,new_president_name
2187-27_tr_116,"Minister of Public Services, Provincial Councils and Local Government",State Minister of Provincial Councils and Local Government,Sri Lanka Institute of Local Government,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_117,"Minister of Higher Education, Technology and Innovation",Minister of Education,University Grants Commission,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_118,"Minister of Higher Education, Technology and Innovation",Minister of Education,"All State Universities, Postgraduate Institutions and other Institutions under the purview of University Grants Commission",department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_120,State Minister of Women and Child Affairs,"State Minister of Women and Child Development, Pre-schools and Primary Education, School Infrastructure and Education Services",Department of Probation and Childcare Services,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_121,State Minister of Women and Child Affairs,"State Minister of Women and Child Development, Pre-schools and Primary Education, School Infrastructure and Education Services",National Child Protection Authority,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_122,State Minister of Women and Child Affairs,"State Minister of Women and Child Development, Pre-schools and Primary Education, School Infrastructure and Education Services",Children's Secretariat,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_123,Minister of Women & Child Affairs and Social Security,"State Minister of Women and Child Development, Pre-schools and Primary Education, School Infrastructure and Education Services",Sri Lanka Women's Bureau,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_124,Minister of Women & Child Affairs and Social Security,"State Minister of Women and Child Development, Pre-schools and Primary Education, School Infrastructure and Education Services",National Committee on Women,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_126,State Minister of Indigenous Medical Services,"State Minister of Women and Child Development, Pre-schools and Primary Education, School Infrastructure and Education Services",Sri Lanka Thriposha Co. Ltd.,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_128,Minister of Education,"State Minister of Education Reforms, Open Universities and Distance Learning Promotion",National Institute of Education,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_129,Minister of Education,"State Minister of Education Reforms, Open Universities and Distance Learning Promotion",National Education Commission,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_131,"Minister of Higher Education, Technology and Innovation","State Minister of Skills Development, Vocational Education, Research and Innovation",Sri Lanka Institute of Advanced Technological Education,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_132,"Minister of Higher Education, Technology and Innovation","State Minister of Skills Development, Vocational Education, Research and Innovation",National Institute of Business Management and affiliated institutions,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_133,"Minister of Higher Education, Technology and Innovation","State Minister of Skills Development, Vocational Education, Research and Innovation",University of Vocational Technology,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_134,"Minister of Higher Education, Technology and Innovation","State Minister of Skills Development, Vocational Education, Research and Innovation",National Institute of Fisheries and Nautical Engineering (Ocean University),department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
